voici	ADV	voici
19	NUM	@card@
conflans	NOM	conflans
23	NUM	@card@
;	PUN	;
20	NUM	@card@
villers-lès-nancy	NOM	villers-lès-nancy
26	NUM	@card@
;	PUN	;
21	NUM	@card@
sarreguemines	NOM	sarreguemines
29	NUM	@card@
;	PUN	;
22	NUM	@card@
farébersviller	NOM	farébersviller
36	NUM	@card@
;	PUN	;
23	NUM	@card@
rehon	NOM	rehon
43	NUM	@card@
;	PUN	;
24	NUM	@card@
marienau	NOM	marienau
49	NUM	@card@
promotion	NOM	promotion
honneur	NOM	honneur
:	PUN	:
1	NUM	@card@
homécourt	NOM	homécourt
4	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
reding	NOM	reding
5	NUM	@card@
;	PUN	;
3	NUM	@card@
vigneulles	NOM	vigneulles
8	NUM	@card@
;	PUN	;
4	NUM	@card@
gosselming	NOM	gosselming
8	NUM	@card@
;	PUN	;
5	NUM	@card@
clouange	NOM	clouange
10	NUM	@card@
;	PUN	;
6	NUM	@card@
vagney	NOM	vagney
10	NUM	@card@
;	PUN	;
7	NUM	@card@
boulay	NOM	boulay
10	NUM	@card@
;	PUN	;
8	NUM	@card@
sainte-marguerite	NOM	sainte-marguerite
10	NUM	@card@
;	PUN	;
9	NUM	@card@
hagondange	NOM	hagondange
11	NUM	@card@
;	PUN	;
10	NUM	@card@
rohrbach-lès-bitche	NOM	rohrbach-lès-bitche
11	NUM	@card@
;	PUN	;
11	NUM	@card@
moyeuvre	NOM	moyeuvre
11	NUM	@card@
;	PUN	;
12	NUM	@card@
epinal	NOM	epinal
12	NUM	@card@
;	PUN	;
13	NUM	@card@
lay-saint-christophe	NOM	lay-saint-christophe
13	NUM	@card@
;	PUN	;
14	NUM	@card@
remilly	NOM	remilly
13	NUM	@card@
;	PUN	;
15	NUM	@card@
golbey	NOM	golbey
14	NUM	@card@
;	PUN	;
16	NUM	@card@
saint-mihiel	NOM	saint-mihiel
14	NUM	@card@
;	PUN	;
17	NUM	@card@
arches	NOM	arche
15	NUM	@card@
;	PUN	;
18	NUM	@card@
gérardmer	NOM	gérardmer
16	NUM	@card@
;	PUN	;
19	NUM	@card@
lunéville	NOM	lunéville
16	NUM	@card@
;	PUN	;
20	NUM	@card@
neuves-maisons	NOM	neuves-maisons
16	NUM	@card@
;	PUN	;
21	NUM	@card@
ptt	NOM	ptt
metz	ABR	metz
17	NUM	@card@
;	PUN	;
22	NUM	@card@
vittel	NAM	Vittel
18	NUM	@card@
;	PUN	;
23	NUM	@card@
merlebach	NOM	merlebach
18	NUM	@card@
;	PUN	;
24	NUM	@card@
rombas	NOM	rombas
18	NUM	@card@
;	PUN	;
25	NUM	@card@
hayange	NOM	hayange
18	NUM	@card@
;	PUN	;
26	NUM	@card@
fameck	NOM	fameck
18	NUM	@card@
;	PUN	;
27	NUM	@card@
hettange	NOM	hettange
19	NUM	@card@
;	PUN	;
28	NUM	@card@
morhange	NOM	morhange
20	NUM	@card@
;	PUN	;
29	NUM	@card@
thionville	NOM	thionville
20	NUM	@card@
;	PUN	;
30	NUM	@card@
florange	NOM	florange
21	NUM	@card@
;	PUN	;
31	NUM	@card@
pagny-sur-moselle	NOM	pagny-sur-moselle
21	NUM	@card@
;	PUN	;
32	NUM	@card@
thaon	NOM	thaon
23	NUM	@card@
;	PUN	;
33	NUM	@card@
neufchâteau	NOM	neufchâteau
23	NUM	@card@
;	PUN	;
34	NUM	@card@
tronville	NOM	tronville
27	NUM	@card@
;	PUN	;
35	NUM	@card@
knutange	NOM	knutange
28	NUM	@card@
;	PUN	;
36	NUM	@card@
talange	NOM	talange
29	NUM	@card@
promotion	NOM	promotion
honneur	NOM	honneur
regional	ADJ	regional
:	PUN	:
1	NUM	@card@
vagney	NOM	vagney
5	NUM	@card@
pts	NOM	pts
;	PUN	;
2	NUM	@card@
bulgnéville	NOM	bulgnéville
5	NUM	@card@
;	PUN	;
3	NUM	@card@
longuyon	NOM	longuyon
8	NUM	@card@
;	PUN	;
4	NUM	@card@
walstroff	NOM	walstroff
8	NUM	@card@
;	PUN	;
5	NUM	@card@
hambach	NOM	hambach
8	NUM	@card@
;	PUN	;
6	NUM	@card@
varangéville	NOM	varangéville
9	NUM	@card@
;	PUN	;
7	NUM	@card@
hadol	NOM	hadol
9	NUM	@card@
;	PUN	;
8	NUM	@card@
chatel-saint-germain	NOM	chatel-saint-germain
9	NUM	@card@
;	PUN	;
9	NUM	@card@
saint-dié	NOM	saint-dié
9	NUM	@card@
;	PUN	;
10	NUM	@card@
vittel-saint-etienne	NOM	vittel-saint-etienne
10	NUM	@card@
;	PUN	;
11	NUM	@card@
laxou	NOM	laxou
10	NUM	@card@
;	PUN	;
12	NUM	@card@
teting	NOM	teting
10	NUM	@card@
;	PUN	;
13	NUM	@card@
montigny	NOM	montigny
10	NUM	@card@
;	PUN	;
14	NUM	@card@
godbrange	NOM	godbrange
10	NUM	@card@
;	PUN	;
15	NUM	@card@
laneuveville	NOM	laneuveville
11	NUM	@card@
;	PUN	;
16	NUM	@card@
delme	NOM	delme
11	NUM	@card@
;	PUN	;
17	NUM	@card@
bouligny	NOM	bouligny
12	NUM	@card@
;	PUN	;
18	NUM	@card@
plombières	NOM	plombières
12	NUM	@card@
;	PUN	;
19	NUM	@card@
nousseviller	NOM	nousseviller
12	NUM	@card@
;	PUN	;
20	NUM	@card@
saint-privat	NOM	saint-privat
12	NUM	@card@
;	PUN	;
21	NUM	@card@
bouxières-aux-dames	NOM	bouxières-aux-dames
13	NUM	@card@
;	PUN	;
22	NUM	@card@
dieuze	NOM	dieuze
13	NUM	@card@
;	PUN	;
23	NUM	@card@
grosbliederstroff	NOM	grosbliederstroff
13	NUM	@card@
;	PUN	;
24	NUM	@card@
neuves-maisons	NOM	neuves-maisons
13	NUM	@card@
;	PUN	;
25	NUM	@card@
magny	NOM	magny
14	NUM	@card@
;	PUN	;
26	NUM	@card@
vandoeuvre	NOM	vandoeuvre
14	NUM	@card@
;	PUN	;
27	NUM	@card@
petite-rosselle	NOM	petite-rosselle
15	NUM	@card@
;	PUN	;
28	NUM	@card@
audun	NOM	audun
15	NUM	@card@
;	PUN	;
29	NUM	@card@
nomexy	NOM	nomexy
16	NUM	@card@
;	PUN	;
30	NUM	@card@
portugais	ADJ	portugais
thionville	NOM	thionville
16	NUM	@card@
;	PUN	;
31	NUM	@card@
mondelange	NOM	mondelange
16	NUM	@card@
;	PUN	;
32	NUM	@card@
stenay-mouzay	NOM	stenay-mouzay
18	NUM	@card@
;	PUN	;
33	NUM	@card@
saulnes	NOM	saulnes
18	NUM	@card@
;	PUN	;
34	NUM	@card@
creutzwald	NAM	creutzwald
18	NUM	@card@
;	PUN	;
35	NUM	@card@
longlaville	NOM	longlaville
19	NUM	@card@
;	PUN	;
36	NUM	@card@
toul-croix-de-metz	ABR	toul-croix-de-metz
19	NUM	@card@
;	PUN	;
37	NUM	@card@
volmerange	NOM	volmerange
20	NUM	@card@
;	PUN	;
38	NUM	@card@
nebing	NOM	nebing
21	NUM	@card@
;	PUN	;
39	NUM	@card@
saulxures-lès-nancy	NOM	saulxures-lès-nancy
21	NUM	@card@
;	PUN	;
40	NUM	@card@
messein	NOM	messein
21	NUM	@card@
;	PUN	;
41	NUM	@card@
sarrebourg	NOM	sarrebourg
24	NUM	@card@
;	PUN	;
42	NUM	@card@
florange-ebange	NOM	florange-ebange
25	NUM	@card@
;	PUN	;
43	NUM	@card@
spicheren	NOM	spicheren
28	NUM	@card@
;	PUN	;
44	NUM	@card@
dieue-sommedieue	NOM	dieue-sommedieue
29	NUM	@card@
;	PUN	;
45	NUM	@card@
heillecourt	NOM	heillecourt
33	NUM	@card@
;	PUN	;
46	NUM	@card@
thierville	NOM	thierville
36	NUM	@card@
;	PUN	;
47	NUM	@card@
woippy	NOM	woippy
43	NUM	@card@
;	PUN	;
48	NUM	@card@
behren-lès-forbach	NOM	behren-lès-forbach
49	NUM	@card@
